N, Cleaning, L, lgL, R, lg10R, W, lg10W, C, lg10C, wdR, lg10wdR, wdW, lg10wdW, wdC, lg10wdC
1000, no, 4, 2, 499500, 5.69854, 500500, 5.6994, 510425, 5.70793, 999, 2.99957, 1000, 3, 4925, 3.69241
Trials with different page sizes: 
1000, yes, 4, 2, 52858, 4.72311, 53858, 4.73125, 2021152, 6.3056, 185, 2.26717, 186, 2.26951, 19501, 4.29006
1000, yes,  32, 5, 499500, 5.69854, 500500, 5.6994, 538120, 5.73088, 999, 2.99957, 1000, 3, 4620, 3.66464
1000, yes,  256, 8, 499500, 5.69854, 500500, 5.6994, 761612, 5.88173, 999, 2.99957, 1000, 3, 4112, 3.61405
N = 10000
10000, no, 4, 2, 9995000, 7.69893, 50005000, 7.69901, 50083705, 7.6997, 9999, 3.99996, 10000, 4, 28705, 4.45796
Trials with different page sizes: 
10000, yes, 32, 5, 4951112, 6.6947, 4961112, 6.69558, 67425544, 7.82882, 1458, 3.16376, 1459, 3.16406, 90745, 4.95782
10000, yes,  256, 8, 49995000, 7.69893, 50005000, 7.69901, 52607896, 7.72105, 9999, 3.99996, 10000, 4, 32896, 4.51714
N = 100000
100000, no, 4, 2, 4999950000, 9.69897, 5000050000, 9.69897, 5000953910, 9.69905, 99999, 5, 100000, 5, 403910, 5.60628
Trials with different page sizes: 
100000, yes, 32, 5, 71921280, 7.85686, 72021280, 7.85746, 6328185983, 9.80128, 1940, 3.2878, 1941, 3.28803, 1614048, 6.20792
100000, yes, 256, 8, 2768373843, 9.44222, 2768473843, 9.44224, 5163442063, 9.71294, 67967, 4.8323, 67968, 4.8323, 693934, 5.84132
N = 200000
200000, no, 4, 2, 19999900000, 10.301, 20000100000, 10.301, 20002075125, 10.3011, 199999, 5.30103, 200000, 5.30103, 975125, 5.98906
Trials with different page sizes: 
200000, yes, 32, 5, 157259609, 8.19662, 157459609, 8.19717, 25514144451, 10.4068, 2131, 3.32858, 2132, 3.32879, 3633960, 6.56038
200000, yes, 256, 8, 4676014595, 9.66988, 4676214595, 9.66989, 20872432988, 10.3196, 67967, 4.8323, 67968, 4.8323, 810117, 5.90855
